"Start","15/2/1971"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT CURA"
"Code","USESNCGPB"
"CURRENCY","E"
"15/2/1971",48.62
"15/5/1971",49.25
"15/8/1971",49.06
"15/11/1971",48.48
"15/2/1972",48.23
"15/5/1972",48.73
"15/8/1972",49.22
"15/11/1972",50.68
"15/2/1973",49.56
"15/5/1973",47.66
"15/8/1973",45.22
"15/11/1973",48.47
"15/2/1974",54.16
"15/5/1974",52.67
"15/8/1974",55.6
"15/11/1974",56.95
"15/2/1975",54.95
"15/5/1975",56.23
"15/8/1975",61.9
"15/11/1975",64.86
"15/2/1976",67.1
"15/5/1976",71
"15/8/1976",72.05
"15/11/1976",73.2
"15/2/1977",74.69
"15/5/1977",75.96
"15/8/1977",76.48
"15/11/1977",76.55
"15/2/1978",73.84
"15/5/1978",75.43
"15/8/1978",73.97
"15/11/1978",72.38
"15/2/1979",73.64
"15/5/1979",76.4
"15/8/1979",74.43
"15/11/1979",76.5
"15/2/1980",78.86
"15/5/1980",83.19
"15/8/1980",82.51
"15/11/1980",90.53
"15/2/1981",101.9
"15/5/1981",115.91
"15/8/1981",126.63
"15/11/1981",123.89
"15/2/1982",133.11
"15/5/1982",139.52
"15/8/1982",150.53
"15/11/1982",157.83
"15/2/1983",157.95
"15/5/1983",167.2
"15/8/1983",180.79
"15/11/1983",181.25
"15/2/1984",190.7
"15/5/1984",198.36
"15/8/1984",216.13
"15/11/1984",231.3
"15/2/1985",254.43
"15/5/1985",244.66
"15/8/1985",232.25
"15/11/1985",218.28
"15/2/1986",204.28
"15/5/1986",200.83
"15/8/1986",194.1
"15/11/1986",191.16
"15/2/1987",178.56
"15/5/1987",176.34
"15/8/1987",180.51
"15/11/1987",171.28
"15/2/1988",170.39
"15/5/1988",174.12
"15/8/1988",191.07
"15/11/1988",186.39
"15/2/1989",195.07
"15/5/1989",209.08
"15/8/1989",210.44
"15/11/1989",204.01
"15/2/1990",195.95
"15/5/1990",195.56
"15/8/1990",186.21
"15/11/1990",181.2
"15/2/1991",188.44
"15/5/1991",213.24
"15/8/1991",215.74
"15/11/1991",202.69
"15/2/1992",204.04
"15/5/1992",204.57
"15/8/1992",190.77
"15/11/1992",209.5
"15/2/1993",223.71
"15/5/1993",221.09
"15/8/1993",233.4
"15/11/1993",237.32
"15/2/1994",242.09
"15/5/1994",235.83
"15/8/1994",227.15
"15/11/1994",224.7
"15/2/1995",221.85
"15/5/1995",213.48
"15/8/1995",217.57
"15/11/1995",215.83
"15/2/1996",224.59
"15/5/1996",232.8
"15/8/1996",229.63
"15/11/1996",235.63
"15/2/1997",254.5
"15/5/1997",265.46
"15/8/1997",278.72
"15/11/1997",274.37
"15/2/1998",283.13
"15/5/1998",284.58
"15/8/1998",281.52
"15/11/1998",272.27
"15/2/1999",290.03
"15/5/1999",311
"15/8/1999",320.64
"15/11/1999",331.21
"15/2/2000",351.32
"15/5/2000",379.34
"15/8/2000",393.5
"15/11/2000",414.98
"15/2/2001",398.13
"15/5/2001",427.36
"15/8/2001",423.82
"15/11/2001",428.51
"15/2/2002",448.64
"15/5/2002",436.52
"15/8/2002",412.91
"15/11/2002",416.55
"15/2/2003",396.54
"15/5/2003",381.46
"15/8/2003",387.94
"15/11/2003",370.77
"15/2/2004",361.85
"15/5/2004",380.06
"15/8/2004",380.4
"15/11/2004",361.5
"15/2/2005",366.43
"15/5/2005",385.9
"15/8/2005",408.44
"15/11/2005",421.51
"15/2/2006",426.74
"15/5/2006",412.63
"15/8/2006",412.19
"15/11/2006",412.66
"15/2/2007",411.36
