"Start","15/2/1985"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICEINDEX - GDP EXCL FOOD & ENERGY SADJ"
"Code","USGDPXSCE"
"CURRENCY","U$"
"15/2/1985",68.8
"15/5/1985",69.14
"15/8/1985",69.52
"15/11/1985",69.96
"15/2/1986",70.38
"15/5/1986",70.84
"15/8/1986",71.37
"15/11/1986",72
"15/2/1987",72.49
"15/5/1987",72.88
"15/8/1987",73.41
"15/11/1987",73.9
"15/2/1988",74.57
"15/5/1988",75.26
"15/8/1988",76.02
"15/11/1988",76.66
"15/2/1989",77.49
"15/5/1989",78.09
"15/8/1989",78.67
"15/11/1989",79.26
"15/2/1990",80.13
"15/5/1990",81.01
"15/8/1990",81.74
"15/11/1990",82.37
"15/2/1991",83.32
"15/5/1991",83.9
"15/8/1991",84.55
"15/11/1991",85.04
"15/2/1992",85.64
"15/5/1992",86.16
"15/8/1992",86.55
"15/11/1992",87.01
"15/2/1993",87.69
"15/5/1993",88.23
"15/8/1993",88.61
"15/11/1993",88.96
"15/2/1994",89.55
"15/5/1994",90.1
"15/8/1994",90.65
"15/11/1994",91.06
"15/2/1995",91.72
"15/5/1995",92.07
"15/8/1995",92.38
"15/11/1995",92.84
"15/2/1996",93.34
"15/5/1996",93.52
"15/8/1996",94
"15/11/1996",94.47
"15/2/1997",94.93
"15/5/1997",95.28
"15/8/1997",95.5
"15/11/1997",95.83
"15/2/1998",96.14
"15/5/1998",96.36
"15/8/1998",96.7
"15/11/1998",97.01
"15/2/1999",97.38
"15/5/1999",97.81
"15/8/1999",98.14
"15/11/1999",98.64
"15/2/2000",99.38
"15/5/2000",99.78
"15/8/2000",100.21
"15/11/2000",100.63
"15/2/2001",101.22
"15/5/2001",101.8
"15/8/2001",102.32
"15/11/2001",102.98
"15/2/2002",103.52
"15/5/2002",103.98
"15/8/2002",104.39
"15/11/2002",104.91
"15/2/2003",105.61
"15/5/2003",105.91
"15/8/2003",106.36
"15/11/2003",106.92
"15/2/2004",107.83
"15/5/2004",108.74
"15/8/2004",109.48
"15/11/2004",110.31
"15/2/2005",111.41
"15/5/2005",112.13
"15/8/2005",112.94
"15/11/2005",113.93
"15/2/2006",114.89
"15/5/2006",115.8
"15/8/2006",116.54
"15/11/2006",117.24
"15/2/2007",118.19
