"Start","15/2/1957"
"End","15/2/2007"
"Frequency","D"
"Name","US CAPITAL EQUIPMENT NADJ"
"Code","USQ63BB.F"
"CURRENCY",
"15/2/1957",22.3
"15/5/1957",22.4
"15/8/1957",22.6
"15/11/1957",23
"15/2/1958",23.1
"15/5/1958",23.1
"15/8/1958",23.1
"15/11/1958",23.3
"15/2/1959",23.5
"15/5/1959",23.6
"15/8/1959",23.6
"15/11/1959",23.6
"15/2/1960",23.7
"15/5/1960",23.6
"15/8/1960",23.6
"15/11/1960",23.6
"15/2/1961",23.7
"15/5/1961",23.7
"15/8/1961",23.7
"15/11/1961",23.7
"15/2/1962",23.7
"15/5/1962",23.8
"15/8/1962",23.8
"15/11/1962",23.8
"15/2/1963",23.8
"15/5/1963",23.8
"15/8/1963",23.8
"15/11/1963",23.9
"15/2/1964",23.9
"15/5/1964",24
"15/8/1964",24.1
"15/11/1964",24.1
"15/2/1965",24.3
"15/5/1965",24.3
"15/8/1965",24.3
"15/11/1965",24.4
"15/2/1966",24.6
"15/5/1966",24.8
"15/8/1966",25
"15/11/1966",25.3
"15/2/1967",25.6
"15/5/1967",25.7
"15/8/1967",25.7
"15/11/1967",26.1
"15/2/1968",26.4
"15/5/1968",26.6
"15/8/1968",26.7
"15/11/1968",27
"15/2/1969",27.2
"15/5/1969",27.3
"15/8/1969",27.6
"15/11/1969",28.1
"15/2/1970",28.4
"15/5/1970",28.6
"15/8/1970",28.9
"15/11/1970",29.5
"15/2/1971",29.8
"15/5/1971",30
"15/8/1971",30.2
"15/11/1971",30.2
"15/2/1972",30.6
"15/5/1972",30.8
"15/8/1972",30.9
"15/11/1972",30.9
"15/2/1973",31.2
"15/5/1973",31.7
"15/8/1973",31.9
"15/11/1973",32.4
"15/2/1974",33.4
"15/5/1974",35
"15/8/1974",37.3
"15/11/1974",39.6
"15/2/1975",40.8
"15/5/1975",41.5
"15/8/1975",42
"15/11/1975",43.1
"15/2/1976",43.8
"15/5/1976",44.3
"15/8/1976",44.8
"15/11/1976",45.9
"15/2/1977",46.5
"15/5/1977",47
"15/8/1977",47.7
"15/11/1977",49.2
"15/2/1978",50
"15/5/1978",50.8
"15/8/1978",51.6
"15/11/1978",53
"15/2/1979",54.2
"15/5/1979",55.3
"15/8/1979",55.9
"15/11/1979",57.7
"15/2/1980",59.4
"15/5/1980",61.1
"15/8/1980",62.2
"15/11/1980",64.5
"15/2/1981",66.1
"15/5/1981",67.6
"15/8/1981",68.4
"15/11/1981",70.3
"15/2/1982",71
"15/5/1982",71.7
"15/8/1982",72.1
"15/11/1982",73.2
"15/2/1983",73.6
"15/5/1983",73.8
"15/8/1983",73.9
"15/11/1983",74.8
"15/2/1984",75.3
"15/5/1984",75.8
"15/8/1984",75.7
"15/11/1984",76.3
"15/2/1985",77
"15/5/1985",77.4
"15/8/1985",77.2
"15/11/1985",78.3
"15/2/1986",78.4
"15/5/1986",78.8
"15/8/1986",78.7
"15/11/1986",79.9
"15/2/1987",80.1
"15/5/1987",80.3
"15/8/1987",80.3
"15/11/1987",81
"15/2/1988",81.4
"15/5/1988",81.9
"15/8/1988",82.3
"15/11/1988",83.7
"15/2/1989",84.5
"15/5/1989",85.1
"15/8/1989",85.6
"15/11/1989",86.9
"15/2/1990",87.5
"15/5/1990",88
"15/8/1990",88.5
"15/11/1990",89.8
"15/2/1991",90.7
"15/5/1991",90.8
"15/8/1991",91
"15/11/1991",92.1
"15/2/1992",92.7
"15/5/1992",92.9
"15/8/1992",92.6
"15/11/1992",93.8
"15/2/1993",94.4
"15/5/1993",94.4
"15/8/1993",94.3
"15/11/1993",95.4
"15/2/1994",96.1
"15/5/1994",96.5
"15/8/1994",96.5
"15/11/1994",97.1
"15/2/1995",98
"15/5/1995",98.3
"15/8/1995",98.2
"15/11/1995",99.5
"15/2/1996",99.6
"15/5/1996",99.5
"15/8/1996",99.3
"15/11/1996",99.9
"15/2/1997",100
"15/5/1997",99.6
"15/8/1997",99.1
"15/11/1997",99.5
"15/2/1998",99.3
"15/5/1998",98.9
"15/8/1998",98.6
"15/11/1998",99.4
"15/2/1999",99.3
"15/5/1999",99
"15/8/1999",98.6
"15/11/1999",99.6
"15/2/2000",99.7
"15/5/2000",99.8
"15/8/2000",99.8
"15/11/2000",100.7
"15/2/2001",100.7
"15/5/2001",100.5
"15/8/2001",100.5
"15/11/2001",100.8
"15/2/2002",100.6
"15/5/2002",100.2
"15/8/2002",99.6
"15/11/2002",100.5
"15/2/2003",100.4
"15/5/2003",100.1
"15/8/2003",100.1
"15/11/2003",101.2
"15/2/2004",101.1
"15/5/2004",101.4
"15/8/2004",101.6
"15/11/2004",103.3
"15/2/2005",103.8
"15/5/2005",104
"15/8/2005",104
"15/11/2005",104.8
"15/2/2006",105.2
"15/5/2006",105.6
"15/8/2006",105.4
"15/11/2006",106.8
"15/2/2007",107.4
